Ant_ID,colony,colony_act,tag_id,body_size,age(days),nb_foraging_events,group_period1,group_period2,period1to2,group_period3,period2to3,group_period4,period3to4,visits_to_brood,visits_to_nest_entrance,visits_to_rubbishpile,nb_interaction_nurses,nb_interaction_cleaners,nb_interaction_foragers,nb_interaction_queen
Ant170,18,2,170,169.859,64,0,N,N,same,NA,NA,NA,NA,24.6364,0,1.72727,846.90909,134.54545,29.363636,46.73
Ant44,18,2,44,178.135,64,0,N,N,same,N,same,NA,NA,116.091,2.90909,7.63636,951.18182,197.90909,50.181818,11.91
Ant99,18,2,99,202.8,64,0,N,N,same,N,same,N,same,95.6364,1.63636,2.18182,512,125.36364,44.454545,5.545
Ant140,18,2,140,221.822,64,0,C,C,same,C,same,C,same,0.272727,2.18182,0,305,301.36364,197.90909,0.7273
Ant91,18,2,91,133.094,71,1,C,NA,NA,NA,NA,NA,NA,74.9091,2.45455,0.272727,131.72727,166.18182,151.09091,0.09091
Ant76,18,2,76,142.338,71,0,N,NA,NA,NA,NA,NA,NA,69.3636,5.18182,12.2727,498.81818,127.18182,33.454545,7.091
Ant30,18,2,30,146.154,71,0,N,N,same,C,switch,NA,NA,30.6364,0.181818,3.63636,540.18182,132.27273,48.272727,5.909
Ant176,18,2,176,151.238,71,25,F,F,same,F,same,F,same,0.636364,22.7273,0,99.090909,202.36364,220.81818,0.2727
Ant60,18,2,60,177.282,71,0,N,N,same,N,same,N,same,18.3636,0.727273,1.81818,625.54545,82.454545,18.454545,36.64
Ant169,18,2,169,190.924,71,0,N,N,same,N,same,N,same,5.45455,2.72727,2.45455,444.54545,199.90909,69.818182,4.455
Ant398,18,2,398,120.702,78,11,F,F,same,F,same,NA,NA,1.54545,218.727,0,122.27273,279.36364,301.90909,0.1818
Ant40,18,2,40,145.836,78,33,C,F,switch,NA,NA,NA,NA,34.2727,40.1818,3.90909,287.72727,216.63636,173.27273,1.364
Ant433,18,2,433,156.16,78,0,N,NA,NA,NA,NA,NA,NA,88.7273,4.36364,30.0909,445,108.63636,48,3.091
Ant161,18,2,161,158.382,78,0,N,N,same,N,same,NA,NA,9.27273,1,0,354.54545,92,38.181818,5.818
Ant227,18,2,227,162.788,78,0,C,C,same,C,same,C,same,17.9091,70.3636,0.545455,387.54545,219.72727,125.63636,1.545
Ant210,18,2,210,163.233,78,0,N,N,same,C,switch,C,same,210.182,0.272727,85.1818,758.27273,192.63636,50,8.636
Ant394,18,2,394,177.882,78,0,N,NA,NA,NA,NA,NA,NA,0.363636,1,0,508,263.63636,153.18182,2.182
Ant102,18,2,102,179.045,78,0,N,N,same,N,same,N,same,52,0,5.09091,580.90909,71.181818,18.545455,7.818
Ant400,18,2,400,181.571,78,0,N,N,same,N,same,N,same,38.8182,1.09091,7.45455,591.45455,169.36364,65.818182,8.091
Ant599,18,2,599,190.961,78,0,C,N,switch,N,same,N,same,0.909091,0,1,387.81818,224,138.27273,1.364
Ant502,18,2,502,128.95,85,71,C,C,same,C,same,C,same,13.6364,127.636,3.36364,181.72727,164.54545,120.54545,0.5455
Ant458,18,2,458,145.221,85,43,F,NA,NA,NA,NA,NA,NA,5.36364,123.364,0.636364,195.63636,262.18182,255.81818,0.5455
Ant207,18,2,207,161.199,85,0,N,NA,NA,NA,NA,NA,NA,58.4545,0.363636,23.0909,508.90909,185.72727,59.454545,3.182
Ant518,18,2,518,167.693,85,0,C,C,same,C,same,NA,NA,16.7273,2.63636,1.36364,248.72727,212.90909,139.63636,0.4545
Ant507,18,2,507,145.279,92,12,F,F,same,NA,NA,NA,NA,1.27273,11.4545,0.363636,120.54545,258,365.72727,0.1818
Ant80,18,2,80,175.071,92,0,N,NA,NA,NA,NA,NA,NA,1.36364,0,0.454545,482.18182,131.09091,37.090909,10.55
Ant144,18,2,144,149.857,99,0,N,N,same,C,switch,NA,NA,73.5455,0.818182,14.5455,576.54545,115.27273,29,11.64
Ant220,18,2,220,150.921,99,48,F,NA,NA,NA,NA,NA,NA,1.45455,126.455,0.0909091,140.36364,249.81818,287.09091,0.09091
Ant257,18,2,257,157.003,99,0,N,N,same,N,same,NA,NA,11.6364,1.81818,2.45455,343.54545,89.272727,30.727273,3.182
Ant209,18,2,209,183.469,99,0,N,N,same,N,same,N,same,429.636,0.454545,4.09091,721.18182,79.545455,17.090909,14.64
Ant329,18,2,329,154.302,113,36,F,NA,NA,NA,NA,NA,NA,1.18182,51.6364,0,277.72727,406.27273,321.63636,0.3636
Ant72,18,2,72,156.013,120,69,F,F,same,F,same,NA,NA,1.45455,103.545,0,100.27273,307.36364,414.90909,0.3636
Ant244,18,2,244,174.751,120,0,N,N,same,N,same,C,switch,14.4545,2.27273,0.909091,470.54545,141.63636,52.363636,4
Ant147,18,2,147,177.519,120,0,N,N,same,N,same,C,switch,5.63636,0,2.63636,557.63636,187.54545,98.727273,8.273
Ant318,18,2,318,178.869,120,0,N,NA,NA,NA,NA,NA,NA,41,0.727273,0.181818,534.27273,120.72727,50.818182,3.727
Ant43,18,2,43,153.574,127,107,F,F,same,NA,NA,NA,NA,1.36364,209,0.454545,100.18182,266.45455,350.45455,0.09091
Ant63,18,2,63,176.706,134,0,N,N,same,N,same,C,switch,30.7273,0,14.3636,470.81818,63.545455,12.181818,14.09
Ant289,18,2,289,169.186,139,0,C,F,switch,F,same,C,switch,1.81818,8.72727,1,285.72727,333.81818,202.90909,1.727
Ant2,18,2,2,184.708,139,0,N,C,switch,C,same,F,switch,30.6364,4.27273,5.63636,594,154.63636,42.090909,9.818
Ant437,18,2,437,185.151,139,0,N,C,switch,C,same,C,same,4.09091,3.54545,8.90909,391.27273,163.63636,60.727273,5
Ant607,18,2,607,205.879,139,15,F,F,same,F,same,NA,NA,3.18182,124.273,0.818182,154.81818,306.09091,335.45455,0.3636
Ant395,18,2,395,207.183,139,0,N,C,switch,C,same,NA,NA,5.81818,3.81818,1.27273,339.27273,143.27273,64.818182,0.9091
Ant55,18,2,55,153.209,148,41,C,F,switch,F,same,NA,NA,23.4545,28.2727,3.18182,369.63636,307.81818,244.90909,1
Ant19,18,2,19,175.362,148,0,C,N,switch,N,same,C,switch,13.6364,48.0909,4.63636,259.45455,194.63636,150.09091,0
Ant212,18,2,212,124.234,155,5,F,F,same,NA,NA,NA,NA,3.63636,59,0,66,163.72727,218,0
Ant313,18,2,313,169.446,155,0,N,N,same,NA,NA,NA,NA,4.45455,0.545455,1.27273,411.09091,187.36364,77.181818,6.273
Ant268,18,2,268,176.505,162,46,F,F,same,F,same,F,same,0.272727,14.4545,0,78.545455,264.81818,306.27273,0
Ant14,18,2,14,143.003,176,59,F,F,same,NA,NA,NA,NA,2.36364,30.7273,0.181818,155.18182,311.36364,339.81818,0.5455
Ant540,18,2,540,180.413,176,1,C,F,switch,NA,NA,NA,NA,75.6364,43.9091,8.81818,714.90909,537.36364,289.81818,17.91
Ant195,18,2,195,223.081,176,0,C,C,same,C,same,C,same,3.27273,136,0.272727,291.27273,375.09091,267.81818,0.6364
Ant126,18,2,126,170.602,183,1,F,C,switch,C,same,C,same,2.72727,39.2727,1.18182,241.54545,361.72727,335.27273,0.09091
Ant215,18,2,215,177.229,183,17,F,F,same,F,same,NA,NA,0,174.636,0,28.090909,186.36364,251.81818,0
Ant593,18,2,593,200.37,183,0,N,N,same,N,same,N,same,4.45455,1.45455,0.272727,525.81818,286.54545,93.272727,4.455
Ant564,18,2,564,214.283,183,11,F,F,same,C,switch,C,same,1,26.1818,0.181818,130.27273,322.54545,351.18182,0.1818
Ant580,18,2,580,177.91,190,0,C,C,same,NA,NA,NA,NA,12.2727,19.1818,5.36364,330.72727,261.27273,123.54545,2.909
Ant560,18,2,560,178.6,190,0,N,N,same,N,same,N,same,26.3636,3.72727,9.81818,514.45455,121,39.272727,11.91
Ant256,18,2,256,184.978,190,9,F,F,same,C,switch,C,same,0.363636,14,0,209.63636,347.45455,310.36364,0.09091
Ant7,18,2,7,195.533,190,0,C,C,same,C,same,NA,NA,3.18182,0.272727,1.81818,234.27273,218.27273,112.36364,1.182
Ant158,18,2,158,197.396,190,9,C,C,same,NA,NA,NA,NA,12.8182,37.8182,0,297.54545,278.81818,182.27273,1.636
Ant638,18,2,638,198.252,190,0,C,F,switch,F,same,F,same,0,0,0,124.36364,178.81818,114.81818,0.3636
Ant65,18,2,65,198.295,190,0,C,C,same,C,same,C,same,1.09091,1.72727,0.181818,104.36364,172.90909,85.909091,0.1818
Ant172,18,2,172,209.201,190,2,F,C,switch,F,switch,C,switch,0.636364,32.3636,0.272727,180.72727,219.63636,295.36364,0.09091
Ant621,18,2,621,255.633,190,0,C,C,same,C,same,N,switch,1.36364,0.818182,0.454545,538.81818,346.09091,153.63636,11.36
Ant492,18,2,492,196.987,197,0,N,N,same,N,same,N,same,1.54545,0.0909091,0.909091,541.63636,95.818182,19.545455,28.73
Ant262,18,2,262,178.362,204,0,C,C,same,C,same,C,same,10.3636,0.272727,1.27273,137.81818,131.81818,64.090909,0.9091
Ant575,18,2,575,183.576,204,0,C,C,same,C,same,NA,NA,1.81818,0.909091,2.09091,224.27273,193.81818,65.909091,0.5455
Ant604,18,2,604,219.276,204,0,C,C,same,C,same,C,same,0.181818,84.9091,0,127.45455,342.18182,302.72727,0.09091
Ant243,18,2,243,132.015,211,61,F,F,same,F,same,NA,NA,4.36364,90,0.181818,58.454545,176.27273,220.18182,0.2727
Ant237,18,2,237,150.841,211,0,N,N,same,N,same,N,same,124.455,2.36364,1.45455,436.09091,103.72727,34.363636,3.636
Ant35,18,2,35,183.535,211,0,C,C,same,C,same,C,same,11.4545,35.7273,0.0909091,162,206.54545,138.63636,0.1818
Ant178,18,2,178,224.617,211,34,C,F,switch,C,switch,C,same,0.545455,314.818,0,46.636364,333.63636,388.81818,0
Ant202,18,2,202,202.299,232,20,F,F,same,F,same,F,same,0,291.909,0,15.272727,146.18182,176,0
Ant632,18,2,632,141.45,253,270,C,F,switch,C,switch,NA,NA,7.36364,105.818,2.72727,25.727273,243.63636,217.18182,0.09091
Ant109,18,2,109,169.664,253,0,C,NA,NA,NA,NA,NA,NA,0.363636,80.0909,0,209.27273,251.45455,256,0.4545
Ant20,18,2,20,174.542,253,74,F,F,same,C,switch,NA,NA,1.45455,109.636,0,178.27273,323.09091,341.90909,0.3636
Ant12,18,2,12,203.337,253,17,C,F,switch,F,same,NA,NA,0,0,0,13.727273,325.81818,209.72727,0.1818
Ant217,18,2,217,144.028,267,160,C,F,switch,F,same,NA,NA,0,6.18182,0,13.272727,176.27273,149.72727,0
Ant592,18,2,592,308.006,1453,0,Q,Q,same,Q,same,Q,same,0.909091,0,1.54545,920.36364,62.818182,4.1818182,0
Ant207,21,3,207,131.37,5,36,F,F,same,NA,NA,NA,NA,5.72727,32,0,25.909091,94.636364,548.36364,0
Ant311,21,3,311,135.506,5,36,F,NA,NA,NA,NA,NA,NA,1.27273,80,0,23.181818,33.090909,249.36364,0.2727
Ant112,21,3,112,136.499,5,0,C,F,switch,F,same,F,same,208.818,1.09091,1,153.27273,220.63636,221.27273,1.727
Ant0,21,3,0,142.678,5,128,F,F,same,F,same,F,same,17,45.9091,0,14,37.272727,394.27273,0.09091
Ant15,21,3,15,142.864,5,0,C,N,switch,C,switch,NA,NA,191.273,0.818182,0.727273,242.45455,139.09091,87.090909,2.636
Ant170,21,3,170,143.405,5,0,C,NA,NA,NA,NA,NA,NA,2.72727,1.09091,0,74.727273,241.63636,264.27273,0.5455
Ant243,21,3,243,144.845,5,0,C,C,same,F,switch,F,same,147.091,0.727273,3.45455,192.45455,225.72727,113.18182,2.727
Ant68,21,3,68,146.031,5,0,N,N,same,NA,NA,NA,NA,571,0.272727,1.09091,462.72727,100.90909,42.181818,8.727
Ant196,21,3,196,150.987,5,45,F,F,same,F,same,F,same,8.45455,70.0909,1,68.727273,199.54545,722.18182,0.09091
Ant102,21,3,102,158.114,5,29,F,F,same,F,same,C,switch,0.363636,61.2727,0.0909091,15.090909,42.545455,273,0
Ant509,21,3,509,161.075,5,73,F,F,same,F,same,NA,NA,1.27273,17,0,19.363636,51.272727,523,0.1818
Ant85,21,3,85,162.29,5,1,F,NA,NA,NA,NA,NA,NA,35.6364,7.27273,41.9091,110.09091,179,249.27273,5.818
Ant356,21,3,356,163.218,5,0,N,NA,NA,NA,NA,NA,NA,405.273,0,0.0909091,353.18182,166,96.454545,1.909
Ant298,21,3,298,164.551,5,0,C,N,switch,NA,NA,NA,NA,10.9091,0,0.454545,253,197.90909,160.72727,4.727
Ant599,21,3,599,166.508,5,0,N,N,same,N,same,NA,NA,321.909,3.27273,1.45455,610.18182,118.18182,51.636364,7.909
Ant492,21,3,492,167.431,5,0,N,N,same,NA,NA,NA,NA,470.909,0.363636,1.36364,584.63636,177.72727,63.545455,11.73
Ant52,21,3,52,172.54,5,0,C,C,same,C,same,F,switch,57.4545,3.63636,0,209.72727,245.36364,315.90909,2.909
Ant250,21,3,250,172.939,5,0,C,C,same,C,same,C,same,29.2727,1,0.181818,165.90909,200.09091,172.18182,3.909
Ant560,21,3,560,176.139,5,0,C,F,switch,F,same,F,same,6,5.81818,0,74.909091,230.36364,330.81818,0.2727
Ant74,21,3,74,184.678,5,0,N,N,same,N,same,N,same,395.091,0,0.454545,585.36364,149.63636,60,9.909
Ant458,21,3,458,189.644,5,0,F,F,same,F,same,NA,NA,19.7273,21,0.272727,67.363636,134.45455,537.81818,0.6364
Ant26,21,3,26,237.548,5,0,F,F,same,F,same,F,same,4.27273,12.2727,0.181818,66.636364,142.81818,499.45455,0.5455
Ant209,21,3,209,120.507,14,4,F,NA,NA,NA,NA,NA,NA,57.0909,6.36364,0.818182,48.272727,99.727273,144.09091,0.09091
Ant28,21,3,28,123.713,14,0,C,NA,NA,NA,NA,NA,NA,14.9091,0,1.45455,155.27273,278.63636,159.63636,1.273
Ant576,21,3,576,126.384,14,0,N,N,same,N,same,N,same,953,5.63636,4.90909,595.81818,94.636364,38.909091,10.45
Ant264,21,3,264,133.36,14,0,N,N,same,N,same,N,same,427.091,0.636364,1.09091,500.81818,73.727273,21.545455,7.636
Ant60,21,3,60,134.082,14,0,N,N,same,N,same,C,switch,419.727,0.545455,22.6364,754.54545,195.45455,63.090909,13
Ant27,21,3,27,140.431,14,0,C,F,switch,F,same,F,same,337.364,2.18182,0.545455,137.54545,135.90909,95.909091,0.09091
Ant580,21,3,580,142.004,14,0,N,N,same,N,same,N,same,1175.09,0.0909091,0.909091,484.18182,51.090909,21.181818,7.545
Ant592,21,3,592,146.373,14,0,C,C,same,NA,NA,NA,NA,455.636,1.36364,0.727273,223.45455,191.36364,133.27273,0.4545
Ant220,21,3,220,149.402,14,0,C,N,switch,N,same,N,same,104.455,1.45455,0.272727,207.36364,184,173.18182,0.9091
Ant501,21,3,501,170.135,14,0,N,N,same,N,same,NA,NA,284.364,2,2.81818,487.45455,142.45455,58,14.09
Ant217,21,3,217,174.244,14,0,N,NA,NA,NA,NA,NA,NA,341.091,2.54545,1.45455,407.72727,119,37,11.82
Ant7,21,3,7,202.556,14,13,F,F,same,F,same,NA,NA,1.72727,11.7273,0.0909091,27.636364,49.545455,785.09091,0
Ant4,21,3,4,116.284,40,9,F,F,same,F,same,F,same,10.4545,7.81818,0,54.818182,167.09091,222.54545,0.1818
Ant19,21,3,19,124.326,40,2,F,F,same,F,same,NA,NA,19.0909,3.54545,0.636364,81.636364,178.45455,300.18182,0
Ant251,21,3,251,128.004,40,52,F,F,same,F,same,F,same,5.54545,17.4545,0.636364,37.363636,106.18182,365.54545,0
Ant2,21,3,2,130.311,40,0,C,C,same,NA,NA,NA,NA,121.909,2.45455,25,312.90909,291.18182,142.36364,12.09
Ant81,21,3,81,131.244,40,0,F,F,same,F,same,F,same,57.2727,2.18182,6.54545,79.818182,182.09091,261.81818,0.2727
Ant556,21,3,556,133.6,40,0,N,N,same,F,switch,F,same,430.273,1.63636,2.90909,507.45455,118,45.454545,15.45
Ant131,21,3,131,136,40,0,N,N,same,NA,NA,NA,NA,300.273,7.72727,1.81818,470.18182,116.45455,43.454545,9.909
Ant44,21,3,44,137.317,40,0,F,F,same,NA,NA,NA,NA,2.72727,3.09091,0,54.090909,135,254.36364,0.09091
Ant212,21,3,212,137.441,40,0,N,NA,NA,NA,NA,NA,NA,428.727,4.45455,2,561.18182,201.72727,101.54545,9.818
Ant245,21,3,245,138.438,40,0,C,C,same,C,same,C,same,186,14.0909,14.4545,12.909091,18.363636,15,0.1818
Ant210,21,3,210,138.654,40,0,C,F,switch,F,same,NA,NA,35.8182,3.45455,4.27273,104.36364,213,181.45455,0.4545
Ant50,21,3,50,138.798,40,0,C,F,switch,F,same,NA,NA,4.72727,0.545455,0.0909091,65.909091,132.09091,188.27273,0
Ant72,21,3,72,144.506,40,0,N,N,same,N,same,N,same,289.545,0,37.0909,344.81818,148.45455,54,20.09
Ant9,21,3,9,145.362,40,0,N,N,same,C,switch,F,switch,161.455,0,0.727273,363.63636,202.72727,94.090909,3.455
Ant398,21,3,398,146.328,40,0,N,N,same,N,same,N,same,170.455,0.272727,2.63636,504.81818,100.45455,29.636364,10
Ant673,21,3,673,147.167,40,0,C,F,switch,F,same,F,same,113.545,1.27273,0.272727,219.09091,202.09091,106.81818,2.091
Ant17,21,3,17,150.376,40,0,N,N,same,N,same,N,same,693.364,3.54545,3.18182,870.18182,230.09091,96.272727,17.09
Ant53,21,3,53,151.212,40,0,N,N,same,N,same,N,same,464.364,0.454545,1,745,123,43.636364,26.27
Ant610,21,3,610,151.327,40,0,N,N,same,N,same,N,same,406.364,2.72727,1.45455,596.36364,87.636364,30.545455,24.82
Ant175,21,3,175,151.397,40,0,N,N,same,N,same,F,switch,497,0.818182,0.272727,421.63636,165.72727,74.090909,1.636
Ant244,21,3,244,151.427,40,0,N,N,same,N,same,N,same,301.909,0.909091,2.18182,414.45455,108.54545,42.818182,13.82
Ant206,21,3,206,152.086,40,0,N,N,same,N,same,N,same,32,0.0909091,2.81818,635,164.36364,53.636364,21.09
Ant97,21,3,97,152.971,40,0,N,N,same,N,same,N,same,750.455,1.36364,1.54545,1070.4545,165.90909,64.545455,19.82
Ant614,21,3,614,153.222,40,0,N,N,same,N,same,N,same,648.727,1.36364,1.18182,533.27273,138.90909,55.181818,4.909
Ant66,21,3,66,155.467,40,0,C,NA,NA,NA,NA,NA,NA,157.727,0.272727,4,147.18182,185.45455,104.45455,3.818
Ant289,21,3,289,158.446,40,0,N,N,same,N,same,N,same,81.8182,3,2.18182,408.27273,95.090909,30.727273,22.45
Ant219,21,3,219,159.289,40,0,N,N,same,N,same,N,same,121.818,1.54545,2.45455,620.81818,148.81818,61.818182,23.45
Ant173,21,3,173,162.975,40,0,C,NA,NA,NA,NA,NA,NA,118.273,2.45455,5.54545,234.09091,229.63636,184.45455,3.273
Ant13,21,3,13,167.057,40,0,N,N,same,N,same,N,same,102.727,0.181818,3.72727,372.81818,148.54545,65,8.545
Ant191,21,3,191,167.296,40,0,N,N,same,N,same,N,same,415.727,0,3.45455,570.72727,161,65.090909,19.18
Ant115,21,3,115,168.181,40,0,N,N,same,N,same,N,same,598.364,1.81818,6.90909,563.54545,210.18182,104.63636,25.73
Ant482,21,3,482,168.324,40,0,C,C,same,C,same,F,switch,67.1818,0,1.81818,170.27273,193.18182,148.63636,0.4545
Ant126,21,3,126,174.04,40,0,C,C,same,F,switch,F,same,2.90909,0,3,98.545455,137.27273,82.090909,2.273
Ant540,21,3,540,175.96,40,0,N,N,same,N,same,N,same,399.545,0.454545,0.0909091,555.45455,139.72727,67.363636,13.45
Ant347,21,3,347,177.133,40,0,N,N,same,N,same,N,same,255.455,1.45455,0.363636,483.27273,94.181818,52.454545,20.36
Ant462,21,3,462,192.315,40,0,C,NA,NA,NA,NA,NA,NA,56.5455,0,0.0909091,329.36364,298.90909,225.27273,2.909
Ant158,21,3,158,201.693,40,0,N,N,same,N,same,N,same,215.364,0.454545,0.545455,473.72727,235.45455,147.45455,11.73
Ant324,21,3,324,220.719,40,0,C,N,switch,N,same,N,same,82,0.636364,1,330,271.90909,195,5.636
Ant38,21,3,38,125.495,50,12,F,F,same,NA,NA,NA,NA,2.27273,20.0909,0,28.363636,97.090909,389.63636,0.3636
Ant149,21,3,149,133.222,50,0,F,F,same,NA,NA,NA,NA,6.72727,1.27273,0.545455,48.545455,166.63636,315.72727,0
Ant221,21,3,221,138.08,50,0,F,F,same,NA,NA,NA,NA,24.7273,2,0.636364,53.909091,124,237.18182,0.3636
Ant76,21,3,76,139.27,50,183,F,F,same,F,same,NA,NA,2.81818,51.3636,1.36364,22.272727,64.545455,503.36364,0.3636
Ant65,21,3,65,139.442,50,43,F,F,same,F,same,NA,NA,2.36364,100.545,0.0909091,33.181818,116.81818,716.90909,0
Ant186,21,3,186,142.127,50,0,C,F,switch,F,same,F,same,48,1,5.90909,152.27273,208.63636,182.54545,3.909
Ant111,21,3,111,155.271,50,0,C,C,same,C,same,F,switch,14.3636,0,0.363636,110.72727,114.45455,87.545455,1.364
Ant242,21,3,242,161.245,50,0,N,N,same,N,same,N,same,350.364,0,0.272727,587.72727,86.363636,29.727273,8.455
Ant159,21,3,159,196.848,50,1,N,N,same,N,same,C,switch,21.7273,0.636364,1.72727,413.54545,136.18182,48.363636,52.09
Ant137,21,3,137,207.039,50,0,N,N,same,N,same,N,same,344.636,1.81818,2.54545,560.27273,121.09091,66.818182,31
Ant30,21,3,30,224.722,50,0,N,N,same,N,same,N,same,103,0.181818,0.181818,349.81818,190.81818,90.727273,6.455
